subclass
A3Iae (223385)
G0
A0
G0Ib (204867)
M7
M2
M3III (44478)
M4II (175588)
A1V (95418)
sdF3 (140283)
B9.5V+... (37269)
K0IIIa (57669)
L1
M2III (169305)
B8IV (171301)
B9Vn (177756)
B6IIIpe (109387)
Carbon
F6V (16673)
K1III (18322)
B2IV-V (176819)
K3Ib... (17506)
L9
B0.5Ibe... (187459)
B2.5V (175426)
O
G2
G9IV (100030)
WD
B5V (173087)
F6Iab: (187929)
CarbonWD
K0V (10780)
M0III (168720)
M5
M7IIIevar (177940)
B2Iaevar (41117)
B9
K5 (110281)
M4.5:III (123657)
sd:F0 (G_84-29)
G9Ib (221861)
K3
M4
OB
B6IV (174959)
B9III (15318)
F2
F5
F8V (G_243-63)
A1m (78209)
B8III (220575)
CalciumWD
F9IV (136064)
K1
O8/O9 (167771)
A1III (225180)
CV
Ldwarf
B9 (105262)
F2III (89254)
F6II (61295)
K3Iab: (4817)
A4V (97603)
F0V (90277)
L2
F0Ib (36673)
L4
L5.5
WDhotter
A0p
A2Ia (14489)
B3Ve (25940)
K7
B2III (35468)
G0Va (143761)
K5III (120933)
K5Ve (118100)
M9
A4p (G_37-26)
A5Ia (17378)
B5 (338529)
B8Ib (208501)
F9
A8V (155514)
B2Ve (164284)
G8V (75732)
M3
F0IV (81937)
F8V (30562)
G0 (63791)
G5Iab: (20123)
K2III (115136)
A0 (19510)
A1Iae (12953)
K3III (101673)
K3p (165195)
K4III (136726)
L3
A5II (34578)
F0III (89025)
G0.5IV (14214)
K1V... (25329)
M0
A9V (154660)
B3II (175156)
Carbon_lines
G5III+... (157910)
K3V (32147)
B0.5Iae (185859)
M2Iab: (36389)
O9.5Iae (30614)
A4 (G_165-39)
Am (78362)
B2.5Ve (187811)
B2Vne (202904)
G5
K0IV (191026)
K5 (G_19-24)
L5
M8
B3Ib/II (51309)
B6
F5Ib... (17463)
M1
M2V
M8IIIe (84748)
A0IVn (25642)
K5III (111335)
M0V
M1 (204445)
O8e (188001)
T2
B1Ve (212571)
B5III (209419)
G8V (101501)
M5Iab: (197812)
B7IVe (209409)
F0II (25291)
F2V (33256)
G0 (G_101-29)
WDcooler
A6IV (28527)
F6III (61064)
G4V (32923)
K1IVa (142091)
M5III (221615)
WDmagnetic
B3V (29763)
F3/F5V (30743)
G3Ib (58526)
G5/G6IVw (26297)
K4Iab: (34255)
L0
A2II (39866)
A4V (136729)
B0IVe (5394)
B2Vne (58343)
B5Ib (191243)
F8Ibvar (45412)
G1V (95128)
K5
M6
M6III (148783)
